timestamp,device_id,metric,value,unit,raw
2026-04-24T10:11:40.751692+00:00,scm10-eth,temperature,4.479,K,T 4.479
2026-04-24T10:11:40.763677+00:00,hrc110-eth,pressure,0.2,psi,0.20 psi  0.827 W
2026-04-24T10:11:40.763677+00:00,hrc110-eth,heater_power,0.827,W,0.20 psi  0.827 W
2026-04-24T10:11:41.091329+00:00,cpa1114-eth,low_pressure,109.9,psi,"scale=0,low_raw=1099,high_raw=3322,low=109.9,high=332.2"
2026-04-24T10:11:41.091329+00:00,cpa1114-eth,high_pressure,332.2,psi,"scale=0,low_raw=1099,high_raw=3322,low=109.9,high=332.2"
2026-04-24T10:11:50.751861+00:00,scm10-eth,temperature,4.48,K,T 4.480
2026-04-24T10:11:50.766318+00:00,hrc110-eth,pressure,0.2,psi,0.20 psi  0.827 W
2026-04-24T10:11:50.766318+00:00,hrc110-eth,heater_power,0.827,W,0.20 psi  0.827 W
2026-04-24T10:11:51.006718+00:00,cpa1114-eth,low_pressure,110.0,psi,"scale=0,low_raw=1100,high_raw=3322,low=110.0,high=332.2"
2026-04-24T10:11:51.006718+00:00,cpa1114-eth,high_pressure,332.2,psi,"scale=0,low_raw=1100,high_raw=3322,low=110.0,high=332.2"
2026-04-24T10:12:00.751570+00:00,scm10-eth,temperature,4.481,K,T 4.481
2026-04-24T10:12:00.765855+00:00,hrc110-eth,pressure,0.2,psi,0.20 psi  0.814 W
2026-04-24T10:12:00.765855+00:00,hrc110-eth,heater_power,0.814,W,0.20 psi  0.814 W
2026-04-24T10:12:00.956287+00:00,cpa1114-eth,low_pressure,110.1,psi,"scale=0,low_raw=1101,high_raw=3324,low=110.1,high=332.4"
2026-04-24T10:12:00.956287+00:00,cpa1114-eth,high_pressure,332.4,psi,"scale=0,low_raw=1101,high_raw=3324,low=110.1,high=332.4"
2026-04-24T10:12:10.751181+00:00,scm10-eth,temperature,4.481,K,T 4.481
2026-04-24T10:12:10.759883+00:00,hrc110-eth,pressure,0.2,psi,0.20 psi  0.813 W
2026-04-24T10:12:10.759883+00:00,hrc110-eth,heater_power,0.813,W,0.20 psi  0.813 W
2026-04-24T10:12:10.920551+00:00,cpa1114-eth,low_pressure,110.1,psi,"scale=0,low_raw=1101,high_raw=3322,low=110.1,high=332.2"
2026-04-24T10:12:10.920551+00:00,cpa1114-eth,high_pressure,332.2,psi,"scale=0,low_raw=1101,high_raw=3322,low=110.1,high=332.2"
2026-04-24T10:12:20.751429+00:00,scm10-eth,temperature,4.479,K,T 4.479
2026-04-24T10:12:20.759762+00:00,hrc110-eth,pressure,0.2,psi,0.20 psi  0.810 W
2026-04-24T10:12:20.759762+00:00,hrc110-eth,heater_power,0.81,W,0.20 psi  0.810 W
2026-04-24T10:12:20.970097+00:00,cpa1114-eth,low_pressure,110.1,psi,"scale=0,low_raw=1101,high_raw=3323,low=110.1,high=332.3"
2026-04-24T10:12:20.970097+00:00,cpa1114-eth,high_pressure,332.3,psi,"scale=0,low_raw=1101,high_raw=3323,low=110.1,high=332.3"
2026-04-24T10:12:30.750747+00:00,scm10-eth,temperature,4.479,K,T 4.479
2026-04-24T10:12:30.760185+00:00,hrc110-eth,pressure,0.2,psi,0.20 psi  0.812 W
2026-04-24T10:12:30.760185+00:00,hrc110-eth,heater_power,0.812,W,0.20 psi  0.812 W
2026-04-24T10:12:30.870381+00:00,cpa1114-eth,low_pressure,110.4,psi,"scale=0,low_raw=1104,high_raw=3324,low=110.4,high=332.4"
2026-04-24T10:12:30.870381+00:00,cpa1114-eth,high_pressure,332.4,psi,"scale=0,low_raw=1104,high_raw=3324,low=110.4,high=332.4"
2026-04-24T10:12:40.750664+00:00,scm10-eth,temperature,4.48,K,T 4.480
2026-04-24T10:12:40.765421+00:00,hrc110-eth,pressure,0.2,psi,0.20 psi  0.820 W
2026-04-24T10:12:40.765421+00:00,hrc110-eth,heater_power,0.82,W,0.20 psi  0.820 W
2026-04-24T10:12:40.875494+00:00,cpa1114-eth,low_pressure,110.1,psi,"scale=0,low_raw=1101,high_raw=3323,low=110.1,high=332.3"
2026-04-24T10:12:40.875494+00:00,cpa1114-eth,high_pressure,332.3,psi,"scale=0,low_raw=1101,high_raw=3323,low=110.1,high=332.3"
2026-04-24T10:12:50.750709+00:00,scm10-eth,temperature,4.483,K,T 4.483
2026-04-24T10:12:50.765388+00:00,hrc110-eth,pressure,0.2,psi,0.20 psi  0.825 W
2026-04-24T10:12:50.765388+00:00,hrc110-eth,heater_power,0.825,W,0.20 psi  0.825 W
2026-04-24T10:12:51.175300+00:00,cpa1114-eth,low_pressure,110.2,psi,"scale=0,low_raw=1102,high_raw=3324,low=110.2,high=332.4"
2026-04-24T10:12:51.175300+00:00,cpa1114-eth,high_pressure,332.4,psi,"scale=0,low_raw=1102,high_raw=3324,low=110.2,high=332.4"
2026-04-24T10:13:00.750362+00:00,scm10-eth,temperature,4.482,K,T 4.482
2026-04-24T10:13:00.809719+00:00,hrc110-eth,pressure,0.2,psi,0.20 psi  0.840 W
2026-04-24T10:13:00.809719+00:00,hrc110-eth,heater_power,0.84,W,0.20 psi  0.840 W
2026-04-24T10:13:01.215153+00:00,cpa1114-eth,low_pressure,110.3,psi,"scale=0,low_raw=1103,high_raw=3323,low=110.3,high=332.3"
